TransactionID,CustomerID,Date,Amount,TransactionType,TransactionStatus,Currency,Location,Device,Reference Number
784,1767,24-01-2023,898.21,Transfer,Pending,GBP,Aaronfort,Online,0e2885af-d452-4d35-9c6f-ffb1a3b91813
166,141,04-05-2022,4546.93,Withdrawal,Pending,USD,Aaronmouth,Branch,ef5906ef-2ae4-4b00-a414-4e92a1cf4dc7
572,589,19-04-2022,7933.64,Withdrawal,Pending,EUR,Aaronville,Branch,2a84a365-1712-4e7a-9604-ab8c4c643205
734,1132,01-04-2022,1109.74,Transfer,Cancelled,INR,Adambury,ATM,7ecf4b2a-5165-408b-b6db-a08a1c8e370d
698,1043,07-04-2022,5257.63,Transfer,Cancelled,INR,Adamsside,Branch,74dbcb5c-87b7-47ec-a707-a5159ea69491
1274,824,03-10-2023,3209.56,Payment,Cancelled,GBP,Adamville,ATM,7baeca71-c226-4032-80cb-93074c83189c
704,848,03-08-2023,1755.99,Deposit,Cancelled,GBP,Aguirreberg,Branch,f54fc3c0-f824-4d8c-86fb-b11d694ed981
1439,127,04-04-2023,6926.42,Payment,Pending,EUR,Alejandraborough,Branch,fa715eb6-3cf2-4a3c-a4ef-aedb6183960c
970,1318,14-04-2022,3065.09,Withdrawal,Pending,USD,Alexanderland,Branch,41b73583-7366-45c6-9141-84c3aec8b7ad
1440,508,26-03-2023,9573,Deposit,Pending,GBP,Alexanderland,Branch,5e1d7d52-4f7b-47d7-be0b-551b991b7583
1223,187,28-10-2023,4167.61,Deposit,Pending,INR,Alexandrafort,Branch,4ccaf6c4-e4e8-435a-9723-d98a25a029ab
562,795,08-04-2022,886.34,Deposit,Completed,GBP,Alexisfort,ATM,ef0e8d86-819b-4761-9eac-65c5abc216b8
1358,1651,23-11-2023,8809.08,Payment,Completed,USD,Alexisfort,ATM,756ce65d-6c48-4f3e-837e-d4d3118c3761
687,1082,19-04-2022,5673.41,Withdrawal,Cancelled,INR,Alexistown,Online,9530908c-58cd-4263-9042-e97f3fad7d8d
807,695,17-01-2024,5665.17,Transfer,Completed,INR,Aliceland,ATM,bd6f34f5-117d-4a5e-8a36-3af8706d4cce
1036,308,15-02-2023,3343.86,Transfer,Completed,GBP,Aliciaborough,Branch,52e4421c-5daa-489f-8c29-c7a1bd342969
1574,547,22-02-2022,8951.64,Transfer,Completed,EUR,Aliciamouth,Branch,5bf42edf-eafb-40f2-bf67-f3e12699cdf2
260,260,06-06-2023,8016.08,Payment,Completed,USD,Aliciaport,ATM,31e0ae99-7d7a-4b49-9169-f269c4b1f6ac
1902,1039,23-10-2023,1340.33,Payment,Completed,USD,Aliciaville,ATM,e9507201-dc73-47bb-ab96-684deabe1df3
681,675,02-08-2023,8380.14,Transfer,Pending,EUR,Allenburgh,ATM,2e4c77bb-b1f8-40e9-b1ee-2c787e4135bc
849,541,23-04-2022,4850.71,Deposit,Completed,GBP,Allenmouth,Online,892ac10d-9932-4fcd-92c2-ae25a87c506b
1,216,10-04-2023,7551.1,Withdrawal,Cancelled,EUR,Allisonton,Online,955350be-68a4-4027-b7ed-e0cf14d22e1a
1314,956,21-10-2022,5271.65,Deposit,Pending,GBP,Alvaradostad,Online,535108ca-1b02-4591-9eb1-8322446e7d27
